# x rho u p
0.00000000 1.00000000 0.00000000 1.00000000
0.01000000 1.00000000 0.00000000 1.00000000
0.02000000 0.99999999 0.00000001 0.99999999
0.03000000 0.99999998 0.00000003 0.99999997
0.04000000 0.99999993 0.00000009 0.99999990
0.05000000 0.99999977 0.00000027 0.99999968
0.06000000 0.99999932 0.00000080 0.99999905
0.07000000 0.99999810 0.00000224 0.99999734
0.08000000 0.99999494 0.00000599 0.99999291
0.09000000 0.99998710 0.00001526 0.99998195
0.10000000 0.99996868 0.00003706 0.99995615
0.11000000 0.99992744 0.00008585 0.99989842
0.12000000 0.99983970 0.00018967 0.99977560
0.13000000 0.99966230 0.00039959 0.99952729
0.14000000 0.99932157 0.00080278 0.99905049
0.15000000 0.99870040 0.00153799 0.99818154
0.16000000 0.99762594 0.00281018 0.99667937
0.17000000 0.99586325 0.00489872 0.99421729
0.18000000 0.99312090 0.00815209 0.99039204
0.19000000 0.98907316 0.01296382 0.98475686
0.20000000 0.98339902 0.01972981 0.97687825
0.21000000 0.97583062 0.02879471 0.96640556
0.22000000 0.96619799 0.04040175 0.95313404
0.23000000 0.95445616 0.05466075 0.93704128
0.24000000 0.94068692 0.07154293 0.91828609
0.25000000 0.92507703 0.09090088 0.89717355
0.26000000 0.90788255 0.11250420 0.87410085
0.27000000 0.88939121 0.13607839 0.84950167
0.28000000 0.86989141 0.16133781 0.82380143
0.29000000 0.84965160 0.18800856 0.79738838
0.30000000 0.82890948 0.21584120 0.77059940
0.31000000 0.80786862 0.24461570 0.74371657
0.32000000 0.78669962 0.27414126 0.71697019
0.33000000 0.76554377 0.30425342 0.69054502
0.34000000 0.74451743 0.33480985 0.66458754
0.35000000 0.72371657 0.36568588 0.63921301
0.36000000 0.70322090 0.39677013 0.61451187
0.37000000 0.68309745 0.42796053 0.59055505
0.38000000 0.66340356 0.45916075 0.56739857
0.39000000 0.64418943 0.49027694 0.54508717
0.40000000 0.62550015 0.52121492 0.52365727
0.41000000 0.60737736 0.55187752 0.50313937
0.42000000 0.58986050 0.58216230 0.48355998
0.43000000 0.57298781 0.61195947 0.46494300
0.44000000 0.55679689 0.64115027 0.44731092
0.45000000 0.54132495 0.66960571 0.43068543
0.46000000 0.52660853 0.69718612 0.41508788
0.47000000 0.51268279 0.72374152 0.40053911
0.48000000 0.49958003 0.74911332 0.38705904
0.49000000 0.48732756 0.77313756 0.37466556
0.50000000 0.47594473 0.79565015 0.36337307
0.51000000 0.46543903 0.81649402 0.35319034
0.52000000 0.45580157 0.83552830 0.34411804
0.53000000 0.44700206 0.85263899 0.33614596
0.54000000 0.43898389 0.86774993 0.32925027
0.55000000 0.43166015 0.88083275 0.32339127
0.56000000 0.42491147 0.89191402 0.31851214
0.57000000 0.41858695 0.90107769 0.31453902
0.58000000 0.41250907 0.90846194 0.31138286
0.59000000 0.40648322 0.91425006 0.30894305
0.60000000 0.40031173 0.91865662 0.30711237
0.61000000 0.39381134 0.92191084 0.30578275
0.62000000 0.38683211 0.92423998 0.30485103
0.63000000 0.37927506 0.92585506 0.30422376
0.64000000 0.37110560 0.92694062 0.30382056
0.65000000 0.36236014 0.92764928 0.30357572
0.66000000 0.35314452 0.92810072 0.30343821
0.67000000 0.34362406 0.92838403 0.30337030
0.68000000 0.33400675 0.92856219 0.30334541
0.69000000 0.32452213 0.92867738 0.30334568
0.70000000 0.31539903 0.92875610 0.30335958
0.71000000 0.30684506 0.92881351 0.30337979
0.72000000 0.29903028 0.92885636 0.30340145
0.73000000 0.29207624 0.92888418 0.30342050
0.74000000 0.28605045 0.92888744 0.30343174
0.75000000 0.28096539 0.92884006 0.30342543
0.76000000 0.27677929 0.92867891 0.30337989
0.77000000 0.27339401 0.92825336 0.30324425
0.78000000 0.27064001 0.92720345 0.30289764
0.79000000 0.26822892 0.92467900 0.30205596
0.80000000 0.26564715 0.91875485 0.30008184
0.81000000 0.26192482 0.90524610 0.29561841
0.82000000 0.25530518 0.87575915 0.28607546
0.83000000 0.24305929 0.81560054 0.26743820
0.84000000 0.22230712 0.70456807 0.23580856
0.85000000 0.19296718 0.52794569 0.19217261
0.86000000 0.16163010 0.30721809 0.14751755
0.87000000 0.13920837 0.12392697 0.11739795
0.88000000 0.12913367 0.03581983 0.10481437
0.89000000 0.12602479 0.00875966 0.10116306
0.90000000 0.12523831 0.00202376 0.10026794
0.91000000 0.12505399 0.00045753 0.10006054
0.92000000 0.12501204 0.00010196 0.10001349
0.93000000 0.12500264 0.00002239 0.10000296
0.94000000 0.12500057 0.00000484 0.10000064
0.95000000 0.12500012 0.00000103 0.10000014
0.96000000 0.12500003 0.00000021 0.10000003
0.97000000 0.12500001 0.00000004 0.10000001
0.98000000 0.12500000 0.00000001 0.10000000
0.99000000 0.12500000 0.00000000 0.10000000
